month,cadastre_raw_level,cadastre_smooth_level,cadastre_raw_abs_change,cadastre_raw_pct_change,cadastre_smooth_abs_change,cadastre_smooth_pct_change
2005-03-01,135500,131700,6900,0.053654743390357806,3100,0.024105754276827263
2005-04-01,140300,134800,4800,0.0354243542435424,3100,0.023538344722854987
2005-05-01,145600,140466.66666666666,5300,0.037776193870278085,5666.666666666657,0.042037586547972294
2005-06-01,151000,145633.33333333334,5400,0.03708791208791218,5166.666666666686,0.03678215472235413
2005-07-01,154100,150233.33333333334,3100,0.020529801324503216,4600,0.03158617532616148
2005-08-01,163200,156100,9100,0.0590525632706036,5866.666666666657,0.039050366097182154
2005-09-01,163600,160300,400,0.002450980392156854,4200,0.026905829596412634
2005-10-01,166100,164300,2500,0.015281173594132058,4000,0.024953212726138485
2005-11-01,173800,167833.33333333334,7700,0.04635761589403975,3533.333333333343,0.021505376344086002
2005-12-01,173700,171200,-100,-5.753739930954849e-4,3366.666666666657,0.02005958291956289
2006-01-01,180000,175833.33333333334,6300,0.03626943005181338,4633.333333333343,0.02706386292834906
2006-02-01,181900,178533.33333333334,1900,0.010555555555555651,2700,0.015355450236966828
2006-03-01,184700,182200,2800,0.015393073117097256,3666.666666666657,0.0205377147124719
2006-04-01,188900,185166.66666666666,4200,0.022739577693557056,2966.666666666657,0.016282473472374548
2006-05-01,188800,187466.66666666666,-100,-5.29380624669118e-4,2300,0.012421242124212473
2006-06-01,189100,188933.33333333334,300,0.0015889830508475367,1466.666666666686,0.007823613086771042
2006-07-01,191100,189666.66666666666,2000,0.01057641459545211,733.3333333333139,0.003881439661256092
2006-08-01,200300,193500,9200,0.04814233385661959,3833.333333333343,0.020210896309314608
2006-09-01,207000,199466.66666666666,6700,0.033449825262106936,5966.666666666657,0.030835486649440025
2006-10-01,208900,205400,1900,0.009178743961352653,5933.333333333343,0.02974598930481287
2006-11-01,218600,211500,9700,0.046433700335088535,6100,0.02969814995131448
2006-12-01,221900,216466.66666666666,3300,0.015096065873742015,4966.666666666657,0.02348305752561064
2007-01-01,227100,222533.33333333334,5200,0.023433979269941396,6066.666666666686,0.028025870033877576
2007-02-01,230000,226333.33333333334,2900,0.01276970497578156,3800,0.017076093469143183
2007-03-01,236300,231133.33333333334,6300,0.027391304347825995,4800,0.021207658321060308
2007-04-01,243700,236666.66666666666,7400,0.03131612357173075,5533.333333333314,0.023940005768676054
2007-05-01,252100,244033.33333333334,8400,0.034468608945424695,7366.666666666686,0.031126760563380262
2007-06-01,258800,251533.33333333334,6700,0.026576755255850903,7500,0.030733506351591222
2007-07-01,262600,257833.33333333334,3800,0.014683153013910433,6300,0.02504638218923927
2007-08-01,266400,262600,3800,0.0144706778370145,4766.666666666657,0.018487394957983128
2007-09-01,270300,266433.3333333333,3900,0.014639639639639546,3833.333333333314,0.014597613607514548
2007-10-01,275300,270666.6666666667,5000,0.018497965223825297,4233.333333333372,0.015888902789941373
2007-11-01,279900,275166.6666666667,4600,0.016709044678532514,4500,0.01662561576354671
2007-12-01,282600,279266.6666666667,2700,0.009646302250803762,4100,0.014900060569351892
2008-01-01,284600,282366.6666666667,2000,0.007077140835102691,3100,0.011100501312962585
2008-02-01,287400,284866.6666666667,2800,0.00983836964160223,2500,0.008853736276708712
2008-03-01,286700,286233.3333333333,-700,-0.002435629784272808,1366.6666666666279,0.004797566112801244
2008-04-01,294800,289633.3333333333,8100,0.028252528775723817,3400,0.011878420868755013
2008-05-01,298800,293433.3333333333,4000,0.013568521031207537,3800,0.013120036828173642
2008-06-01,303300,298966.6666666667,4500,0.015060240963855387,5533.333333333372,0.0188572077700786
2008-07-01,306200,302766.6666666667,2900,0.009561490273656492,3800,0.012710447095551247
2008-08-01,300800,303433.3333333333,-5400,-0.017635532331809256,666.6666666666279,0.00220191566662975
2008-09-01,301000,302666.6666666667,200,6.648936170212671e-4,-766.6666666666279,-0.002526639569372602
2008-10-01,300000,300600,-1000,-0.0033222591362126463,-2066.666666666686,-0.006828193832599139
2008-11-01,299400,300133.3333333333,-600,-0.0020000000000000018,-466.66666666668607,-0.0015524506542471395
2008-12-01,292000,297133.3333333333,-7400,-0.024716098864395408,-3000,-0.00999555752998671
2009-01-01,283000,291466.6666666667,-9000,-0.03082191780821919,-5666.666666666628,-0.01907112407448941
2009-02-01,269000,281333.3333333333,-14000,-0.04946996466431097,-10133.333333333372,-0.03476669716376957
2009-03-01,289800,280600,20800,0.07732342007434934,-733.3333333333139,-0.0026066350710899355
